member_id,member_name,member_begin_date,congress,chamber,committee_id
W000802,Sheldon Whitehouse,,117,senate,SCNC
R000608,Jacky Rosen,,117,senate,SCNC
W000437,Roger Wicker,,117,joint,JCSE
C000141,Benjamin L. Cardin,,117,joint,JCSE
B001236,John Boozman,,117,joint,JCSE
W000802,Sheldon Whitehouse,,117,joint,JCSE
S001181,Jeanne Shaheen,,117,joint,JCSE
T000476,Thom Tillis,,117,joint,JCSE
B000575,Roy Blunt,,117,joint,JSPR
W000437,Roger Wicker,,117,joint,JSPR
W000779,Ron Wyden,,117,joint,JSTX
C000880,Michael D. Crapo,,117,joint,JSTX
B000575,Roy Blunt,,117,joint,JSLC
S000320,Richard C. Shelby,,117,joint,JSLC
P000449,Rob Portman,,117,joint,JSEC
C001075,Bill Cassidy,,117,joint,JSEC
C001098,Ted Cruz,,117,joint,JSEC
B001236,John Boozman,,118,senate,SSAF
M000355,Mitch McConnell,,118,senate,SSAF
H001061,John Hoeven,,118,senate,SSAF
B001267,Michael Bennet,,118,senate,SSAF
S001203,Tina Smith,,118,senate,SSAF
M001198,Roger Marshall,,118,senate,SSAF
T000278,Tommy Tuberville,,118,senate,SSAF
B001288,Cory Booker,,118,senate,SSAF
T000250,John Thune,,118,senate,SSAF
F000463,Deb Fischer,,118,senate,SSAF
M001111,Patty Murray,,118,senate,SSAP
C001035,Susan Collins,,118,senate,SSAP
M000355,Mitch McConnell,,118,senate,SSAP
R000122,Jack Reed,,118,senate,SSAP
G000359,Lindsey Graham,,118,senate,SSAP
M000934,Jerry Moran,,118,senate,SSAP
S001181,Jeanne Shaheen,,118,senate,SSAP
H001061,John Hoeven,,118,senate,SSAP
B001236,John Boozman,,118,senate,SSAP
