member_id,member_name,member_begin_date,congress,chamber,committee_id,subcommittee_id
M001204,Daniel Meuser,2019-01-29,116,house,HSED,HSED02
H001090,Josh Harder,2019-01-29,116,house,HSED,HSED02
J000301,Dusty Johnson,2019-01-29,116,house,HSED,HSED02
S001206,Donna Shalala,2019-01-29,116,house,HSED,HSED02
L000592,Andy Levin,2019-01-29,116,house,HSED,HSED02
T000482,Lori Trahan,2019-01-29,116,house,HSED,HSED02
S000185,Robert C. Scott,,116,house,HSED,HSED02
S001199,Lloyd Smucker,2019-01-29,116,house,HSED,HSED13
D000598,Susan A. Davis,2019-01-29,116,house,HSED,HSED13
G000558,Brett Guthrie,2019-01-29,116,house,HSED,HSED13
C001069,Joe Courtney,2019-01-29,116,house,HSED,HSED13
G000576,Glenn Grothman,2019-01-29,116,house,HSED,HSED13
T000472,Mark Takano,2019-01-29,116,house,HSED,HSED13
S001196,Elise Stefanik,2019-01-29,116,house,HSED,HSED13
J000298,Pramila Jayapal,2019-01-29,116,house,HSED,HSED13
B001299,Jim Banks,2019-01-29,116,house,HSED,HSED13
H001090,Josh Harder,2019-01-29,116,house,HSED,HSED13
W000819,Mark Walker,2019-01-29,116,house,HSED,HSED13
L000592,Andy Levin,2019-01-29,116,house,HSED,HSED13
C001108,James Comer,2019-01-29,116,house,HSED,HSED13
O000173,Ilhan Omar,2019-01-29,116,house,HSED,HSED13
C001118,Ben Cline,2019-01-29,116,house,HSED,HSED13
T000483,David Trone,2019-01-29,116,house,HSED,HSED13
F000469,Russ Fulcher,2019-01-29,116,house,HSED,HSED13
L000590,Susie Lee,2019-01-29,116,house,HSED,HSED13
W000824,Steven Watkins,2019-01-29,116,house,HSED,HSED13
T000482,Lori Trahan,2019-01-29,116,house,HSED,HSED13
M001204,Daniel Meuser,2019-01-29,116,house,HSED,HSED13
C001091,Joaquín Castro,2019-01-29,116,house,HSED,HSED13
T000480,William Timmons,2019-01-29,116,house,HSED,HSED13
G000551,Raúl M. Grijalva,2019-01-29,116,house,HSED,HSED13
S001177,Gregorio Kilili Camacho Sablan,2019-01-29,116,house,HSED,HSED13
B001278,Suzanne Bonamici,2019-01-29,116,house,HSED,HSED13
A000370,Alma Adams,2019-01-29,116,house,HSED,HSED13
N000188,Donald W. Norcross,2019-01-29,116,house,HSED,HSED13
B001289,Bradley Byrne,2019-01-29,116,house,HSED,HSED10
A000370,Alma Adams,2019-01-29,116,house,HSED,HSED10
R000607,Francis Rooney,2019-01-29,116,house,HSED,HSED10
D000623,Mark DeSaulnier,2019-01-29,116,house,HSED,HSED10
W000819,Mark Walker,2019-01-29,116,house,HSED,HSED10
T000472,Mark Takano,2019-01-29,116,house,HSED,HSED10
C001118,Ben Cline,2019-01-29,116,house,HSED,HSED10
J000298,Pramila Jayapal,2019-01-29,116,house,HSED,HSED10
W000827,Ron Wright,2019-01-29,116,house,HSED,HSED10
W000826,Susan Wild,2019-01-29,116,house,HSED,HSED10
M001208,Lucy McBath,2019-01-29,116,house,HSED,HSED10
O000173,Ilhan Omar,2019-01-29,116,house,HSED,HSED10
S001215,Haley Stevens,2019-01-29,116,house,HSED,HSED10
B001278,Suzanne Bonamici,,116,house,HSED,HSED07
C001108,James Comer,,116,house,HSED,HSED07
G000551,Raúl M. Grijalva,,116,house,HSED,HSED07
T000467,Glenn Thompson,,116,house,HSED,HSED07
F000455,Marcia L. Fudge,,116,house,HSED,HSED07
S001196,Elise Stefanik,,116,house,HSED,HSED07
S001216,Kim Schrier,,116,house,HSED,HSED07
J000301,Dusty Johnson,,116,house,HSED,HSED07
H001081,Jahana Hayes,,116,house,HSED,HSED07
T000483,David Trone,,116,house,HSED,HSED07
L000590,Susie Lee,,116,house,HSED,HSED07
M001159,Cathy McMorris Rodgers,2019-01-18,116,house,HSIF,HSIF17
S001145,Jan Schakowsky,2019-01-15,116,house,HSIF,HSIF17
U000031,Fred Upton,2019-01-18,116,house,HSIF,HSIF17
